Date,Region,Product,Units Sold,Price Per Unit,Total Revenue
2025-01-22,South,Product B,132,174.55,23040.600000000002
2025-02-06,South,Product E,92,149.25,13731.0
2025-04-23,East,Product E,35,460.24,16108.4
2025-03-02,South,Product D,129,462.68,59685.72
2025-04-09,North,Product D,185,435.43,80554.55
2025-05-05,East,Product C,127,239.78,30452.06
2025-04-19,North,Product B,77,124.26,9568.02
2025-02-27,South,Product D,123,210.54,25896.42
2025-04-19,West,Product C,111,482.51,53558.61
2025-04-15,North,Product D,162,472.88,76606.56
2025-02-04,North,Product D,81,441.08,35727.479999999996
2025-03-19,West,Product C,135,378.35,51077.25
2025-05-01,South,Product D,167,173.1,28907.7
2025-01-15,West,Product C,31,316.94,9825.14
2025-02-08,West,Product E,168,433.66,72854.88
2025-01-19,South,Product B,73,27.46,2004.5800000000002
2025-01-18,West,Product C,135,13.61,1837.35
2025-04-27,South,Product C,189,24.1,4554.900000000001
2025-03-20,East,Product C,119,308.01,36653.19
2025-02-21,East,Product C,166,44.08,7317.28
2025-01-29,East,Product B,32,460.72,14743.04
2025-03-08,North,Product E,140,324.54,45435.600000000006
2025-04-14,North,Product D,191,411.41,78579.31
2025-03-10,West,Product D,36,44.73,1610.28
2025-03-19,West,Product E,4,492.67,1970.68
2025-01-26,West,Product D,57,100.04,5702.280000000001
2025-03-16,East,Product D,182,91.32,16620.239999999998
2025-01-21,South,Product D,23,450.82,10368.86
2025-02-27,North,Product E,155,90.44,14018.199999999999
2025-04-30,East,Product D,35,397.57,13914.949999999999
2025-04-21,West,Product D,51,189.86,9682.86
2025-01-16,West,Product D,49,75.53,3700.9700000000003
2025-03-04,South,Product D,154,331.12,50992.48
2025-02-13,South,Product B,129,101.5,13093.5
2025-03-27,East,Product A,153,170.09,26023.77
2025-01-08,East,Product E,86,239.46,20593.56
2025-02-17,West,Product A,105,161.14,16919.699999999997
2025-04-17,North,Product D,100,456.28,45628.0
2025-01-31,South,Product C,8,260.78,2086.24
2025-02-23,West,Product A,157,146.97,23074.29
2025-01-06,North,Product A,162,259.83,42092.46
2025-04-07,West,Product E,146,300.16,43823.36
2025-02-13,East,Product C,66,18.94,1250.0400000000002
2025-02-12,East,Product E,154,161.33,24844.820000000003
2025-02-17,South,Product C,130,227.87,29623.100000000002
2025-02-13,East,Product B,66,141.62,9346.92
2025-03-27,West,Product B,131,264.43,34640.33
2025-05-06,West,Product B,150,365.66,54849.00000000001
2025-02-11,East,Product D,43,305.65,13142.949999999999
2025-01-29,North,Product C,74,342.76,25364.239999999998
2025-01-03,North,Product B,9,120.87,1087.83
2025-02-27,North,Product D,190,183.6,34884.0
2025-02-17,West,Product D,123,33.31,4097.13
2025-01-05,East,Product C,143,276.62,39556.66
2025-04-29,South,Product E,129,72.52,9355.08
2025-04-04,East,Product D,149,120.94,18020.06
2025-03-27,North,Product C,138,379.95,52433.1
2025-03-22,North,Product E,57,370.97,21145.29
2025-04-19,East,Product E,64,130.33,8341.12
2025-04-18,East,Product A,67,240.1,16086.699999999999
2025-04-21,South,Product B,162,389.03,63022.85999999999
2025-02-07,South,Product E,2,293.96,587.92
2025-03-22,North,Product C,78,50.44,3934.3199999999997
2025-02-06,South,Product C,5,250.85,1254.25
2025-04-11,North,Product E,5,484.76,2423.8
2025-04-23,South,Product A,145,483.92,70168.40000000001
2025-03-19,East,Product B,22,177.77,3910.94
2025-05-02,South,Product D,170,67.2,11424.0
2025-04-22,North,Product B,66,368.19,24300.54
2025-03-17,East,Product B,181,302.7,54788.7
2025-02-20,West,Product C,71,297.92,21152.32
2025-03-12,South,Product C,39,375.33,14637.869999999999
2025-02-21,North,Product D,137,118.65,16255.050000000001
2025-03-25,North,Product C,191,307.84,58797.439999999995
2025-03-13,East,Product D,19,71.82,1364.58
2025-03-12,West,Product D,158,216.88,34267.04
2025-02-15,North,Product C,46,489.86,22533.56
2025-03-04,East,Product A,99,194.9,19295.100000000002
2025-04-15,North,Product E,147,451.71,66401.37
2025-03-11,West,Product A,76,11.14,846.6400000000001
2025-01-15,South,Product E,170,475.37,80812.9
2025-01-27,East,Product C,137,344.77,47233.49
2025-03-04,West,Product E,86,118.36,10178.96
2025-02-17,South,Product C,139,151.47,21054.329999999998
2025-04-15,East,Product D,38,202.68,7701.84
2025-04-23,West,Product A,61,347.16,21176.760000000002
2025-01-26,East,Product C,5,194.32,971.5999999999999
2025-01-19,West,Product C,7,40.55,283.84999999999997
2025-04-09,East,Product D,106,94.02,9966.119999999999
2025-04-03,West,Product D,90,176.33,15869.7
2025-04-14,South,Product E,99,103.17,10213.83
2025-03-02,South,Product C,111,414.04,45958.44
2025-01-21,West,Product A,46,76.9,3537.4
2025-04-28,North,Product C,99,313.24,31010.760000000002
2025-02-14,West,Product E,53,279.08,14791.24
2025-03-09,South,Product E,15,251.49,3772.3500000000004
2025-05-06,North,Product B,164,429.26,70398.64
2025-04-18,East,Product A,72,296.63,21357.36
2025-02-13,North,Product A,78,137.9,10756.2
2025-04-01,East,Product D,59,99.3,5858.7
2025-02-22,West,Product C,124,401.35,49767.4
2025-04-22,East,Product E,134,376.94,50509.96
2025-01-11,East,Product A,54,203.6,10994.4
2025-03-31,South,Product C,113,456.99,51639.87
2025-05-01,South,Product D,56,386.12,21622.72
2025-03-27,West,Product E,14,374.22,5239.08
2025-04-07,East,Product D,40,336.46,13458.4
2025-04-25,East,Product B,65,357.62,23245.3
2025-03-26,East,Product C,44,132.26,5819.44
2025-01-13,North,Product E,46,282.86,13011.560000000001
2025-02-03,South,Product B,77,337.01,25949.77
2025-01-05,East,Product E,172,418.65,72007.8
2025-04-19,North,Product A,198,119.17,23595.66
2025-03-29,West,Product D,158,47.27,7468.660000000001
2025-04-19,West,Product D,71,265.57,18855.47
2025-05-07,South,Product E,193,445.66,86012.38
2025-01-12,North,Product A,86,66.88,5751.679999999999
2025-03-09,South,Product E,165,448.96,74078.4
2025-04-03,North,Product C,167,235.15,39270.05
2025-01-29,West,Product D,198,366.76,72618.48
2025-01-13,North,Product E,169,331.91,56092.79
2025-03-10,West,Product D,187,427.95,80026.65
2025-01-13,South,Product C,119,442.79,52692.01
2025-02-23,South,Product A,83,198.05,16438.15
2025-04-21,North,Product E,122,104.84,12790.48
2025-02-18,North,Product A,146,194.39,28380.94
2025-01-06,West,Product A,12,456.39,5476.68
2025-04-27,South,Product E,22,423.31,9312.82
2025-04-06,South,Product E,26,270.4,7030.4
2025-03-25,North,Product B,78,53.35,4161.3
2025-01-26,South,Product D,179,148.72,26620.88
2025-03-18,North,Product D,172,27.75,4773.0
2025-02-11,East,Product E,178,400.79,71340.62000000001
2025-03-29,West,Product E,190,187.66,35655.4
2025-03-02,East,Product B,162,350.46,56774.52
2025-04-15,East,Product A,147,273.91,40264.770000000004
2025-03-01,East,Product B,31,72.04,2233.2400000000002
2025-03-06,East,Product C,181,177.46,32120.260000000002
2025-02-15,North,Product A,14,159.25,2229.5
2025-04-21,South,Product A,146,343.61,50167.060000000005
2025-04-09,North,Product D,127,261.49,33209.23
2025-03-21,South,Product E,8,433.56,3468.48
2025-01-29,North,Product B,77,205.89,15853.529999999999
2025-04-15,South,Product A,83,275.07,22830.809999999998
2025-04-24,South,Product D,15,151.87,2278.05
2025-03-03,West,Product C,191,489.71,93534.61
2025-01-02,South,Product D,187,362.67,67819.29000000001
2025-04-29,West,Product D,114,298.63,34043.82
2025-01-11,West,Product C,118,300.11,35412.98
2025-03-11,East,Product D,72,234.82,16907.04
2025-04-25,East,Product A,138,493.96,68166.48
2025-01-24,West,Product B,116,141.05,16361.800000000001
2025-01-14,South,Product E,110,166.88,18356.8
2025-04-30,East,Product C,84,316.64,26597.76
2025-01-13,West,Product C,116,103.79,12039.640000000001
2025-04-13,East,Product C,172,37.14,6388.08
2025-03-22,South,Product D,156,166.33,25947.480000000003
2025-02-01,East,Product D,142,407.61,57880.62
2025-02-07,West,Product D,195,352.22,68682.90000000001
2025-02-18,West,Product D,89,274.5,24430.5
2025-04-27,East,Product C,29,249.41,7232.89
2025-02-04,South,Product B,96,340.09,32648.64
2025-02-05,North,Product C,158,241.32,38128.56
2025-01-06,West,Product A,61,96.18,5866.9800000000005
2025-05-07,South,Product E,188,219.34,41235.92
2025-04-07,East,Product C,136,341.48,46441.28
2025-01-24,West,Product A,34,236.26,8032.84
2025-03-06,West,Product D,191,326.23,62309.93
2025-01-18,West,Product D,164,486.84,79841.76
2025-01-19,East,Product A,194,192.57,37358.58
2025-03-20,North,Product D,174,487.07,84750.18
2025-04-22,West,Product C,76,482.65,36681.4
2025-03-17,North,Product E,147,208.63,30668.61
2025-03-21,South,Product D,135,284.88,38458.8
2025-03-16,West,Product E,85,22.29,1894.6499999999999
2025-04-03,East,Product D,192,173.79,33367.68
2025-01-27,North,Product D,77,232.71,17918.670000000002
2025-03-08,South,Product A,140,79.15,11081.0
2025-02-05,East,Product A,179,177.82,31829.78
2025-01-19,South,Product B,8,493.55,3948.4
2025-03-02,South,Product E,193,190.18,36704.74
2025-03-10,South,Product C,88,387.15,34069.2
2025-02-04,West,Product C,9,19.37,174.33
2025-03-25,South,Product A,40,255.68,10227.2
2025-02-18,South,Product E,137,38.46,5269.02
2025-04-08,North,Product A,89,318.91,28382.99
2025-01-18,West,Product D,80,110.32,8825.599999999999
2025-02-05,West,Product A,22,55.99,1231.78
2025-02-20,South,Product C,187,140.71,26312.77
2025-03-19,West,Product A,18,404.37,7278.66
2025-02-08,East,Product A,86,316.64,27231.039999999997
2025-02-14,North,Product C,184,369.63,68011.92
2025-03-10,North,Product E,1,158.21,158.21
2025-05-06,East,Product B,113,23.34,2637.42
2025-05-03,North,Product D,80,100.19,8015.2
2025-01-16,North,Product B,147,29.75,4373.25
2025-03-07,North,Product D,190,371.67,70617.3
2025-03-29,North,Product E,153,32.07,4906.71
2025-01-19,South,Product D,108,468.65,50614.2
2025-04-12,South,Product B,197,192.74,37969.78
2025-02-20,East,Product D,91,302.03,27484.729999999996
2025-01-04,West,Product D,8,109.24,873.92
2025-04-28,East,Product B,183,126.46,23142.18
2025-01-12,West,Product E,20,386.09,7721.799999999999
2025-04-19,North,Product D,164,33.93,5564.5199999999995
2025-01-12,West,Product E,12,103.76,1245.1200000000001
2025-03-14,West,Product A,11,53.41,587.51
2025-01-19,South,Product C,198,404.46,80083.08
2025-02-02,South,Product C,52,393.1,20441.2
2025-01-01,North,Product D,2,379.09,758.18
2025-04-13,East,Product C,81,67.85,5495.849999999999
2025-01-03,South,Product E,118,287.32,33903.76
2025-01-01,West,Product D,193,13.19,2545.67
2025-03-05,East,Product D,189,187.73,35480.97
2025-03-16,East,Product D,88,113.83,10017.039999999999
2025-03-01,West,Product A,121,267.35,32349.350000000002
2025-01-06,North,Product E,156,418.99,65362.44
2025-04-21,East,Product E,175,410.23,71790.25
2025-04-20,West,Product B,133,78.98,10504.34
2025-03-14,North,Product C,8,124.64,997.12
2025-01-14,West,Product C,136,93.36,12696.96
2025-02-03,South,Product D,79,233.39,18437.809999999998
2025-02-06,South,Product A,21,195.02,4095.42
2025-05-04,North,Product B,10,499.48,4994.8
2025-05-01,West,Product C,18,371.84,6693.12
2025-04-07,South,Product C,181,412.26,74619.06
2025-02-05,North,Product B,156,366.06,57105.36
2025-04-14,North,Product D,44,167.45,7367.799999999999
2025-02-12,North,Product A,37,196.78,7280.86
2025-03-09,South,Product C,96,473.39,45445.44
2025-01-19,South,Product B,153,242.62,37120.86
2025-01-31,East,Product D,19,379.68,7213.92
2025-04-27,North,Product B,6,308.76,1852.56
2025-03-14,South,Product A,23,157.55,3623.65
2025-04-22,West,Product E,127,152.23,19333.21
2025-02-04,East,Product B,15,312.56,4688.4
2025-03-27,East,Product E,107,146.08,15630.560000000001
2025-02-04,East,Product D,66,121.88,8044.08
2025-04-09,South,Product C,65,64.21,4173.65
2025-01-29,North,Product E,186,94.04,17491.440000000002
2025-03-28,West,Product E,41,106.6,4370.599999999999
2025-01-06,North,Product D,16,158.41,2534.56
2025-05-01,South,Product A,76,308.82,23470.32
2025-01-08,West,Product C,120,296.02,35522.399999999994
2025-04-15,East,Product D,108,201.23,21732.84
2025-01-24,East,Product C,118,171.91,20285.38
2025-03-02,East,Product B,69,74.79,5160.51
2025-02-26,East,Product A,145,401.81,58262.45
2025-01-21,North,Product D,153,16.76,2564.28
2025-03-09,East,Product C,150,325.38,48807.0
2025-02-05,South,Product D,84,320.95,26959.8
2025-04-25,North,Product D,179,384.34,68796.86
2025-04-11,West,Product A,123,113.72,13987.56
2025-02-02,West,Product E,102,332.18,33882.36
2025-01-20,North,Product A,77,399.69,30776.13
2025-04-07,North,Product A,34,268.41,9125.94
2025-02-07,West,Product D,136,54.17,7367.12
2025-04-28,South,Product B,134,229.77,30789.18
2025-01-31,East,Product B,76,128.88,9794.88
2025-04-30,West,Product C,154,44.79,6897.66
2025-03-07,South,Product D,95,242.49,23036.55
2025-03-30,South,Product D,165,47.78,7883.7
2025-04-17,East,Product C,194,426.75,82789.5
2025-03-17,North,Product E,29,217.05,6294.450000000001
2025-03-28,West,Product A,67,481.64,32269.879999999997
2025-01-23,North,Product C,53,88.77,4704.8099999999995
2025-04-18,South,Product A,141,139.05,19606.050000000003
2025-01-13,North,Product A,58,349.64,20279.12
2025-03-07,East,Product D,102,292.63,29848.26
2025-02-17,North,Product C,141,252.01,35533.409999999996
2025-03-13,South,Product C,55,156.46,8605.300000000001
2025-01-28,East,Product B,94,468.5,44039.0
2025-02-16,East,Product B,118,418.13,49339.34
2025-04-06,South,Product E,152,56.77,8629.04
2025-02-06,West,Product D,178,408.91,72785.98000000001
2025-03-20,East,Product D,121,301.38,36466.979999999996
2025-01-09,South,Product E,55,35.97,1978.35
2025-03-11,North,Product D,74,110.16,8151.84
2025-01-12,West,Product B,65,416.8,27092.0
2025-04-04,East,Product E,151,190.77,28806.27
2025-04-25,East,Product A,23,107.58,2474.34
2025-01-20,East,Product B,56,166.81,9341.36
2025-04-11,North,Product A,169,338.32,57176.08
2025-01-18,East,Product D,187,237.21,44358.270000000004
2025-03-04,West,Product E,43,370.02,15910.859999999999
2025-04-13,East,Product D,6,264.87,1589.22
2025-04-20,East,Product B,13,475.03,6175.389999999999
2025-04-22,East,Product D,12,466.1,5593.200000000001
2025-04-14,North,Product E,61,119.27,7275.469999999999
2025-04-12,South,Product E,118,474.55,55996.9
2025-03-18,East,Product D,6,167.27,1003.6200000000001
2025-04-17,North,Product D,48,268.62,12893.76
2025-05-05,North,Product D,104,221.48,23033.92
2025-02-09,West,Product D,28,391.47,10961.16
2025-02-24,North,Product B,166,367.88,61068.08
2025-03-04,East,Product E,26,220.21,5725.46
2025-01-27,South,Product C,124,108.04,13396.960000000001
2025-03-28,East,Product B,158,218.81,34571.98
2025-02-08,East,Product D,32,18.05,577.6
2025-02-26,West,Product B,118,12.5,1475.0
2025-05-02,North,Product A,113,474.72,53643.36
2025-03-24,North,Product D,150,414.46,62169.0
2025-03-20,West,Product C,22,215.22,4734.84
2025-03-26,West,Product B,133,332.98,44286.340000000004
2025-03-15,North,Product D,44,15.71,691.24
2025-01-16,North,Product D,92,445.14,40952.88
2025-04-06,North,Product A,183,12.96,2371.6800000000003
2025-01-05,North,Product C,15,232.15,3482.25
2025-04-06,South,Product D,36,216.53,7795.08
2025-01-21,West,Product A,150,338.48,50772.0
2025-03-04,North,Product D,97,431.88,41892.36
2025-04-19,West,Product B,125,121.68,15210.0
2025-04-05,West,Product A,37,148.09,5479.33
2025-04-29,South,Product D,193,345.32,66646.76
2025-03-17,North,Product E,138,447.4,61741.2
2025-03-01,East,Product C,78,247.82,19329.96
2025-04-07,South,Product D,137,194.72,26676.64
2025-02-25,East,Product C,42,428.12,17981.04
2025-01-11,North,Product C,23,482.47,11096.810000000001
2025-04-13,West,Product B,20,108.17,2163.4
2025-01-09,South,Product B,169,441.14,74552.66
2025-02-06,North,Product C,36,453.43,16323.48
2025-01-18,West,Product C,100,324.96,32495.999999999996
2025-03-01,South,Product D,121,336.53,40720.13
2025-04-25,East,Product E,18,366.46,6596.28
2025-04-21,West,Product B,114,478.98,54603.72
2025-04-16,East,Product C,12,359.32,4311.84
2025-02-03,East,Product C,99,140.86,13945.140000000001
2025-05-05,South,Product C,28,114.72,3212.16
2025-03-02,North,Product E,126,321.92,40561.920000000006
2025-01-10,North,Product A,110,499.94,54993.4
2025-04-14,South,Product A,65,495.8,32227.0
2025-01-06,East,Product B,184,23.12,4254.08
2025-01-10,East,Product C,7,179.04,1253.28
2025-02-28,South,Product E,5,449.02,2245.1
2025-03-16,South,Product D,149,270.59,40317.909999999996
2025-02-06,North,Product A,192,136.41,26190.72
2025-03-10,North,Product A,59,357.46,21090.14
2025-04-15,North,Product E,48,67.97,3262.56
2025-01-11,South,Product D,58,492.9,28588.199999999997
2025-03-26,East,Product D,38,80.11,3044.18
2025-04-09,North,Product E,40,348.16,13926.400000000001
2025-04-12,North,Product B,33,154.1,5085.3
2025-02-04,East,Product C,172,285.57,49118.04
2025-04-09,East,Product E,41,398.88,16354.08
2025-03-14,North,Product E,146,172.87,25239.02
2025-01-09,West,Product C,138,100.67,13892.460000000001
2025-02-11,South,Product A,38,123.31,4685.78
2025-01-20,East,Product C,4,407.9,1631.6
2025-03-30,West,Product B,96,252.69,24258.239999999998
2025-02-06,East,Product C,16,267.45,4279.2
2025-02-13,East,Product E,86,278.37,23939.82
2025-03-04,South,Product C,191,47.73,9116.43
2025-01-15,South,Product C,113,467.29,52803.770000000004
2025-02-09,East,Product D,124,493.47,61190.280000000006
2025-04-07,North,Product D,133,243.16,32340.28
2025-02-10,West,Product E,66,101.84,6721.4400000000005
2025-04-21,South,Product D,10,285.97,2859.7000000000003
2025-05-05,South,Product A,174,141.93,24695.82
2025-04-30,South,Product E,87,146.66,12759.42
2025-01-04,North,Product D,61,487.51,29738.11
2025-01-09,South,Product D,185,209.67,38788.95
2025-03-16,South,Product A,125,434.41,54301.25
2025-02-10,East,Product A,127,481.19,61111.13
2025-01-23,North,Product D,104,399.01,41497.04
2025-02-26,West,Product C,197,58.88,11599.36
2025-01-01,South,Product B,127,496.52,63058.04
2025-02-16,West,Product D,94,323.57,30415.579999999998
2025-03-06,North,Product D,158,94.56,14940.48
2025-02-04,South,Product E,167,355.32,59338.44
2025-03-17,South,Product C,164,457.25,74989.0
2025-02-14,East,Product D,35,373.36,13067.6
2025-03-14,North,Product D,69,75.06,5179.14
2025-03-20,North,Product C,183,184.41,33747.03
2025-01-09,East,Product A,99,317.57,31439.43
2025-01-31,East,Product C,150,90.75,13612.5
2025-01-28,South,Product D,77,311.06,23951.62
2025-04-27,South,Product C,89,417.27,37137.03
2025-02-17,West,Product B,138,243.19,33560.22
2025-05-01,North,Product C,57,356.06,20295.420000000002
2025-02-20,North,Product B,57,180.87,10309.59
2025-03-24,West,Product B,200,140.97,28194.0
2025-04-21,East,Product C,188,131.78,24774.64
2025-05-02,East,Product C,109,27.3,2975.7000000000003
2025-03-02,South,Product B,140,180.4,25256.0
2025-02-09,West,Product B,52,399.72,20785.440000000002
2025-05-07,West,Product C,191,388.7,74241.7
2025-02-22,North,Product A,116,139.62,16195.92
2025-03-21,East,Product B,87,238.5,20749.5
2025-01-02,South,Product B,145,180.96,26239.2
2025-03-22,South,Product E,136,213.02,28970.72
2025-03-22,North,Product C,82,217.4,17826.8
2025-03-15,West,Product A,11,385.47,4240.17
2025-02-23,East,Product C,69,188.1,12978.9
2025-02-06,West,Product D,145,199.01,28856.449999999997
2025-04-05,West,Product E,155,456.19,70709.45
2025-02-19,North,Product A,193,116.56,22496.08
2025-04-27,South,Product C,39,16.1,627.9000000000001
2025-01-03,East,Product B,152,212.77,32341.04
2025-05-02,North,Product D,30,143.85,4315.5
2025-03-18,East,Product E,42,287.97,12094.740000000002
2025-01-09,West,Product D,52,474.68,24683.36
2025-03-29,East,Product E,70,234.19,16393.3
2025-01-26,West,Product A,99,300.1,29709.9
2025-02-13,South,Product C,123,31.31,3851.1299999999997
2025-01-14,North,Product C,110,269.03,29593.299999999996
2025-05-04,South,Product A,69,66.71,4602.99
2025-01-23,South,Product C,62,65.97,4090.14
2025-01-23,West,Product D,148,380.07,56250.36
2025-01-31,West,Product D,122,43.68,5328.96
2025-04-05,West,Product B,171,17.63,3014.73
2025-01-13,South,Product D,77,381.13,29347.01
2025-02-05,East,Product E,65,75.11,4882.15
2025-04-15,North,Product C,141,118.05,16645.05
2025-03-05,West,Product D,96,438.74,42119.04
2025-02-02,West,Product A,60,362.54,21752.4
2025-02-19,East,Product C,67,348.05,23319.350000000002
2025-03-19,West,Product D,92,259.18,23844.56
2025-02-25,East,Product B,75,237.24,17793.0
2025-04-15,South,Product C,15,345.24,5178.6
2025-02-25,East,Product D,160,333.78,53404.799999999996
2025-02-25,South,Product C,134,488.99,65524.66
2025-04-21,North,Product E,56,39.91,2234.96
2025-02-20,South,Product C,111,161.31,17905.41
2025-01-22,South,Product C,19,295.29,5610.51
2025-01-24,East,Product A,21,315.86,6633.06
2025-03-18,South,Product A,126,371.46,46803.96
2025-02-09,South,Product B,147,119.25,17529.75
2025-01-17,East,Product E,13,25.28,328.64
2025-04-18,East,Product C,19,271.11,5151.09
2025-04-07,North,Product C,150,163.42,24512.999999999996
2025-02-08,North,Product A,39,327.8,12784.2
2025-01-25,West,Product B,60,242.42,14545.199999999999
2025-04-11,West,Product D,71,239.79,17025.09
2025-01-07,East,Product B,94,271.57,25527.579999999998
2025-04-02,South,Product D,4,187.17,748.68
2025-04-03,West,Product D,123,142.56,17534.88
2025-01-22,North,Product D,77,205.97,15859.69
2025-01-22,West,Product C,37,435.29,16105.730000000001
2025-02-14,North,Product E,200,239.31,47862.0
2025-01-08,South,Product C,89,463.7,41269.299999999996
2025-03-17,South,Product E,157,278.11,43663.270000000004
2025-02-05,South,Product E,172,13.01,2237.72
2025-01-17,North,Product E,36,463.78,16696.079999999998
2025-01-14,East,Product D,18,179.83,3236.94
2025-02-16,South,Product A,96,37.26,3576.96
2025-03-26,West,Product E,133,197.45,26260.85
2025-04-30,South,Product A,176,101.74,17906.239999999998
2025-03-14,West,Product E,118,282.32,33313.76
2025-03-27,East,Product E,148,289.21,42803.079999999994
2025-01-28,East,Product B,163,131.76,21476.879999999997
2025-03-27,North,Product D,96,384.67,36928.32
2025-04-26,North,Product B,148,172.66,25553.68
2025-01-08,South,Product E,143,144.65,20684.95
2025-04-08,North,Product E,53,369.25,19570.25
2025-02-06,South,Product E,56,433.55,24278.8
2025-02-10,South,Product C,160,382.72,61235.200000000004
2025-03-03,South,Product C,130,373.42,48544.6
2025-01-09,East,Product B,112,398.16,44593.920000000006
2025-04-21,South,Product B,71,168.65,11974.15
2025-01-03,North,Product A,185,194.7,36019.5
2025-01-30,South,Product E,121,244.39,29571.19
2025-03-08,East,Product C,155,250.22,38784.1
2025-02-18,North,Product C,122,240.73,29369.059999999998
2025-02-04,West,Product E,92,189.99,17479.08
2025-03-09,West,Product C,107,60.87,6513.09
2025-03-31,South,Product A,134,168.64,22597.76
2025-02-08,South,Product D,132,196.92,25993.44
2025-05-06,North,Product B,156,237.57,37060.92
2025-01-11,South,Product E,197,479.52,94465.44
2025-03-17,West,Product B,163,386.15,62942.45
2025-03-15,West,Product D,165,244.97,40420.05
2025-01-30,East,Product A,1,430.79,430.79
2025-02-26,East,Product D,152,133.52,20295.04
2025-04-09,South,Product B,133,34.61,4603.13
2025-01-13,South,Product A,132,153.27,20231.640000000003
2025-02-13,North,Product B,58,441.23,25591.34
2025-02-05,West,Product B,149,51.22,7631.78
2025-05-02,West,Product A,36,300.14,10805.039999999999
2025-02-07,East,Product D,154,10.94,1684.76
